Name,mainCategories,subCategory1,subCategory2,subCategory3,subCategory4
David Sawitzky,['uncategorized'],uncategorized,,,
Jeff Bezos,"['aliens', 'celebrities', 'business celebrities']",aliens,celebrities,business celebrities,
Turd Sandwich,['uncategorized'],uncategorized,,,
Officer Peterson,['uncategorized'],uncategorized,,,
Anti-Christ,['uncategorized'],uncategorized,,,
Philip Glass,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
9th Grader with Red Hood,['unnamed characters'],unnamed characters,,,
Unnamed Interior Designer,['unnamed characters'],unnamed characters,,,
Mrs. Stoley,['unnamed characters'],unnamed characters,,,
Queen of Hearts,['crossover characters'],crossover characters,,,
The Yelper Boy,['unnamed characters'],unnamed characters,,,
VIP Johns,['uncategorized'],uncategorized,,,
Cameraman,['unnamed characters'],unnamed characters,,,
Mr. Adler's Girlfriend,['unnamed characters'],unnamed characters,,,
Zach Galifianakis,['celebrities'],celebrities,,,
Mr. Hagen,['uncategorized'],uncategorized,,,
Rick James,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Leslie Meyers,"['4th graders', 'monsters']",4th graders,monsters,,
Justin Timberlake,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Tom Thompson,['uncategorized'],uncategorized,,,
Mr. Romero,['unnamed characters'],unnamed characters,,,
A.W.E.S.O.M.-O 4000,['uncategorized'],uncategorized,,,
Sarah Flannigan,['uncategorized'],uncategorized,,,
Bucky Bailey,['uncategorized'],uncategorized,,,
6th Grader with Orange Hood,['unnamed characters'],unnamed characters,,,
Future Stan,['unnamed characters'],unnamed characters,,,
Trent Boyett,['4th graders'],4th graders,,,
Beatrice McGullicutty,['uncategorized'],uncategorized,,,
Chris Donnely,['4th graders'],4th graders,,,
Marcia Wallace,['crossover characters'],crossover characters,,,
Grandpa McCormick,['unnamed characters'],unnamed characters,,,
Allison Mertz,['kindergartners'],kindergartners,,,
Alanis Morissette,['music celebrities'],music celebrities,,,
Legless Boy,['unnamed characters'],unnamed characters,,,
Brian,['uncategorized'],uncategorized,,,
Wilson Aubry,['uncategorized'],uncategorized,,,
Pentagon Commander,['unnamed characters'],unnamed characters,,,
Mayor McDaniels,['uncategorized'],uncategorized,,,
Nelson Brown,['kindergartners'],kindergartners,,,
Ellen DeGeneres,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Tony Kornheiser,['celebrities'],celebrities,,,
Billy Mays,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Elvin Cartman,['kindergartners'],kindergartners,,,
Mr. McGillicuddy,['uncategorized'],uncategorized,,,
Brian Boitano,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Snoop Dogg,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Canadian Judge,['uncategorized'],uncategorized,,,
Lennart Bedrager,['uncategorized'],uncategorized,,,
Charlie Brown,['crossover characters'],crossover characters,,,
Senior AIDS Researcher,['uncategorized'],uncategorized,,,
Book Mobile Driver,['unnamed characters'],unnamed characters,,,
Rick (Taming Strange),['uncategorized'],uncategorized,,,
Steve (Grounded Vindaloop),['uncategorized'],uncategorized,,,
Tom Green,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Mountain Lion Cubs,['animals'],animals,,,
Mr. Hakeem,['uncategorized'],uncategorized,,,
Quintuplets,['uncategorized'],uncategorized,,,
Pedophile Cameraman,['uncategorized'],uncategorized,,,
Diego,['uncategorized'],uncategorized,,,
Phil Collins,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Donald Rumsfeld,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Regis Philbin,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Redneck with Brown Shirt,['unnamed characters'],unnamed characters,,,
Grandma Testaburger,['unnamed characters'],unnamed characters,,,
Madonna,['music celebrities'],music celebrities,,,
Mountain Lion,['animals'],animals,,,
Allison,['uncategorized'],uncategorized,,,
Paolo Captain,['uncategorized'],uncategorized,,,
Tom Cruise,['celebrities'],celebrities,,,
Murderin' Murphy,['uncategorized'],uncategorized,,,
Coach Miles,['school faculty'],school faculty,,,
Eugene Levy,['celebrities'],celebrities,,,
Bats (Stick of Truth),['animals'],animals,,,
Zytar,['aliens'],aliens,,,
Mitch McConnell,['political celebrities'],political celebrities,,,
Wendy Testaburger,['4th graders'],4th graders,,,
Mr. Grazier,['uncategorized'],uncategorized,,,
Leonardo DiCaprio,['celebrities'],celebrities,,,
Gay Cowboys,['uncategorized'],uncategorized,,,
Jasmine,['crossover characters'],crossover characters,,,
Jared's Aides (The Fractured But Whole),['uncategorized'],uncategorized,,,
Andrew Sutherland,['uncategorized'],uncategorized,,,
Emperor Hirohito,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Jerome Chef McElroy,['uncategorized'],uncategorized,,,
Pat O'Brien,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
David Palmer,['uncategorized'],uncategorized,,,
Hoffman and Turk Attorney,['unnamed characters'],unnamed characters,,,
Dean,['uncategorized'],uncategorized,,,
Eric Cartman,['4th graders'],4th graders,,,
Medicinal Fried Chicken Clerk,['uncategorized'],uncategorized,,,
Howard Flannigan,['uncategorized'],uncategorized,,,
Dwight Schultz,['uncategorized'],uncategorized,,,
Christopher Reeve,"['celebrities', 'criminal celebrities']",celebrities,criminal celebrities,,
Elvis Presley,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Saint Peter,"['religious figures', 'animals']",religious figures,animals,,
Mushroom People,['uncategorized'],uncategorized,,,
Weight Gain 4000 Ad Actor,['unnamed characters'],unnamed characters,,,
Tammy Nelson,['4th graders'],4th graders,,,
Rick (Black Friday),['uncategorized'],uncategorized,,,
Alois and Klara Hitler,['uncategorized'],uncategorized,,,
Project Imagination Doorway Lead Scientist,['unnamed characters'],unnamed characters,,,
Crab King,"['animals', 'aliens']",animals,aliens,,
Mike Thompson,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Buck Jr.,['uncategorized'],uncategorized,,,
The Lollipop King,['crossover characters'],crossover characters,,,
Wrestling Tryout Participants,['unnamed characters'],unnamed characters,,,
George Clooney,['uncategorized'],uncategorized,,,
Skeeter's Friends,['unnamed characters'],unnamed characters,,,
Professor Lamont,['school faculty'],school faculty,,,
People's Army Leader,['unnamed characters'],unnamed characters,,,
Michael Deets,['uncategorized'],uncategorized,,,
Moorish Dragon,['uncategorized'],uncategorized,,,
Mall Madman,['unnamed characters'],unnamed characters,,,
Kelly Turner,['uncategorized'],uncategorized,,,
Don Heisman,['uncategorized'],uncategorized,,,
Tom Vilsack,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Woodsy Owl,['monsters'],monsters,,,
Canadian Banker,['uncategorized'],uncategorized,,,
Alan Jackson,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Kurt Loder,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Father and Handicapped Daughter,['uncategorized'],uncategorized,,,
Ranae Holland,['uncategorized'],uncategorized,,,
Sylvester Stallone,['celebrities'],celebrities,,,
Drew Carey,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Colette Francis,['4th graders'],4th graders,,,
Cody,['uncategorized'],uncategorized,,,
Glen Dumont,['uncategorized'],uncategorized,,,
Herbert Garrison Sr.'s Drinking Buddies,['unnamed characters'],unnamed characters,,,
Jose Venezuela,['school faculty'],school faculty,,,
Al Pacino,['celebrities'],celebrities,,,
Lolly the Candy Man,['uncategorized'],uncategorized,,,
Jenny Simons,['4th graders'],4th graders,,,
Blaze,['school faculty'],school faculty,,,
Gandalf the Grey,['crossover characters'],crossover characters,,,
Frank Sinatra,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Canadian Prime Minister,['uncategorized'],uncategorized,,,
Annie,['4th graders'],4th graders,,,
Sparky,['animals'],animals,,,
Rebecca Turnod,['uncategorized'],uncategorized,,,
Steve Forbes,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Nishimura Master,['uncategorized'],uncategorized,,,
Amanda,['uncategorized'],uncategorized,,,
Dr. Larry,['uncategorized'],uncategorized,,,
Teenager Girl with Blue Hood,['unnamed characters'],unnamed characters,,,
P. Diddy,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Phil and Josh,['uncategorized'],uncategorized,,,
Mrs. Barbrady,['unnamed characters'],unnamed characters,,,
Moroni,['uncategorized'],uncategorized,,,
Marcus Preston,['4th graders'],4th graders,,,
Polly Prissypants,['uncategorized'],uncategorized,,,
John Howard,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Nelly,['4th graders'],4th graders,,,
Jim Carrey,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
Mrs. Joe Gargery,['uncategorized'],uncategorized,,,
DEA Agents,['uncategorized'],uncategorized,,,
Pearl,['uncategorized'],uncategorized,,,
Tom Brady,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Whole Foods Representative,['unnamed characters'],unnamed characters,,,
Shelly Marsh,['uncategorized'],uncategorized,,,
Dennis Murray,['4th graders'],4th graders,,,
Niles Lawson,['uncategorized'],uncategorized,,,
Aging Hippie Liberal Douche,['unnamed characters'],unnamed characters,,,
Grandma Tucker,['unnamed characters'],unnamed characters,,,
PurpleHeadedQueefLicker,"['internet trolls', 'unnamed characters']",internet trolls,unnamed characters,,
Patches,['animals'],animals,,,
Uncle Sam,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Sony President,['unnamed characters'],unnamed characters,,,
Mr. Wyland,['school faculty'],school faculty,,,
Barry Bonds,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Harvey Brown,['uncategorized'],uncategorized,,,
Sally Darson,['4th graders'],4th graders,,,
Ms. Stevenson,['uncategorized'],uncategorized,,,
Bill Clinton,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Sarah McLachlan,"['music celebrities', 'celebrities']",music celebrities,celebrities,,
Scuzzlebutt,"['animals', 'monsters']",animals,monsters,,
Spinny Mountain Records Producer,['unnamed characters'],unnamed characters,,,
Charlie Rose,['uncategorized'],uncategorized,,,
Lemmiwinks,['animals'],animals,,,
Grand Wizard Cartman,['uncategorized'],uncategorized,,,
Basketball Coach,['uncategorized'],uncategorized,,,
Kenyan News Reporters,['uncategorized'],uncategorized,,,
Matthew Klinner,['uncategorized'],uncategorized,,,
R. Kelly,"['music celebrities', 'criminal celebrities']",music celebrities,criminal celebrities,,
Jessie (Medicinal Fried Chicken),['uncategorized'],uncategorized,,,
Bob Johnson,['uncategorized'],uncategorized,,,
Anonymous821,"['internet trolls', 'unnamed characters']",internet trolls,unnamed characters,,
Paula Deen,['celebrities'],celebrities,,,
Nellie McElroy,['uncategorized'],uncategorized,,,
Reince Priebus,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Frederick Johnson,['uncategorized'],uncategorized,,,
Steve Bannon,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Clone Stan Marsh,['monsters'],monsters,,,
Feldspar the Thief,['4th graders'],4th graders,,,
Tom and Mary,['uncategorized'],uncategorized,,,
Alex Hart,['uncategorized'],uncategorized,,,
Cable Company Worker,['uncategorized'],uncategorized,,,
Matt Hasselbeck,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Nibblet,"['animals', 'monsters']",animals,monsters,,
Syrian Refugee Children,['uncategorized'],uncategorized,,,
Bartles,['uncategorized'],uncategorized,,,
Cartman's Father (Unaired Pilot),['unnamed characters'],unnamed characters,,,
Big Gay Al,['uncategorized'],uncategorized,,,
Esther,['4th graders'],4th graders,,,
Jessica Pinkerton,['uncategorized'],uncategorized,,,
Deborah Carroll,"['television celebrities', 'celebrities']",television celebrities,celebrities,,
"Sam, David, and Chris",['uncategorized'],uncategorized,,,
Obese Man (Raising the Bar),['unnamed characters'],unnamed characters,,,
Rob Schneider,['celebrities'],celebrities,,,
Tommy Turner,['4th graders'],4th graders,,,
Millard Anderson,['uncategorized'],uncategorized,,,
Citizen with Brown Hair and Blue Suit,['unnamed characters'],unnamed characters,,,
Geldon,['monsters'],monsters,,,
Count Ravyncrowe,['4th graders'],4th graders,,,
Mr. Preston,['unnamed characters'],unnamed characters,,,
Angus T. Jones,['celebrities'],celebrities,,,
Mrs. Gueermo,['uncategorized'],uncategorized,,,
Maria Sanchez,['4th graders'],4th graders,,,
Dorky Girl,['unnamed characters'],unnamed characters,,,
Russian Taxi Driver,['unnamed characters'],unnamed characters,,,
Jimmy Cartman,['animals'],animals,,,
Paulo,['uncategorized'],uncategorized,,,
Lola,['4th graders'],4th graders,,,
Chris (Dad),['uncategorized'],uncategorized,,,
Alien Chief of Security,['aliens'],aliens,,,
Mr. Mackey,"['school faculty', 'unnamed characters']",school faculty,unnamed characters,,
Freja Ollegard,['fictional celebrities'],fictional celebrities,,,
Kelly and Stacy,['uncategorized'],uncategorized,,,
Canadian Therapist,['uncategorized'],uncategorized,,,
Buddy Ebsen,['celebrities'],celebrities,,,
Timothy Neely,['uncategorized'],uncategorized,,,
Irene,['uncategorized'],uncategorized,,,
Katie Foley,['uncategorized'],uncategorized,,,
Teenager Boy with Black Jacket,['unnamed characters'],unnamed characters,,,
Roger,['uncategorized'],uncategorized,,,
Four-Assed Monkey,['animals'],animals,,,
Emily,['4th graders'],4th graders,,,
Jennifer Lopez,"['music celebrities', 'celebrities', 'criminal celebrities']",music celebrities,celebrities,criminal celebrities,
Cameron,['uncategorized'],uncategorized,,,
Hakeem Korashki,['uncategorized'],uncategorized,,,
Crippled Girl with Brown Hair,['unnamed characters'],unnamed characters,,,
Slaughterhouse,['uncategorized'],uncategorized,,,
Peter Panda,['uncategorized'],uncategorized,,,
Lannie,['4th graders'],4th graders,,,
Brian Boyant,['uncategorized'],uncategorized,,,
Fat Bob,['uncategorized'],uncategorized,,,
James (Build-A-Bear),['uncategorized'],uncategorized,,,
Brett Favre,"['celebrities', 'sports celebrities']",celebrities,sports celebrities,,
Dick Cheney,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
Paul Ryan,"['political celebrities', 'celebrities']",political celebrities,celebrities,,
